ID,Volcano,GVP Volcano Number,Eruption_name,Magma_type,Eruption_type,MER_kg/s,MER_note,Vent_elevation_km,Column_height_km,Column_top_altitude_km,Column_height_note,Duration_hr,Duration_note
NZ_OKA_Kaharoa_F,Okataina,241050,Okataina Geology AD 1314 Kaharoa F lapilli,Silicic,Magmatic large,5E+08,PUB_VDD,1.1,26,27,CAL_PVD,3.0,CAL
NZ_OKA_Kaharoa_G,Okataina,241050,Okataina Geology AD 1314 Kaharoa G lapilli,Silicic,Magmatic small to moderate,1E+08,PUB_VDD,1.1,,,,2.5,CAL
NZ_OKA_Kaharoa_HNW,Okataina,241050,Okataina Geology AD 1314 Kaharoa HNW lapilli,Silicic,Magmatic small to moderate,2E+07,PUB_VDD,1.1,,,,2.5,CAL
NZ_OKA_Kaharoa_HSE,Okataina,241050,Okataina Geology AD 1314 Kaharoa HSE lapilli,Silicic,Magmatic small to moderate,3E+08,PUB_VDD,1.1,,,,2.5,CAL
NZ_OKA_Kaharoa_I,Okataina,241050,Okataina Geology AD 1314 Kaharoa I lapilli,Silicic,Magmatic small to moderate,2E+08,PUB_VDD,1.1,,,,2.5,CAL
NZ_OKA_Kaharoa_J,Okataina,241050,Okataina Geology AD 1314 Kaharoa J lapilli,Silicic,Magmatic large,9E+08,PUB_VDD,1.1,24,25,CAL_PVD,1.8,CAL
NZ_OKA_Kaharoa_KNE,Okataina,241050,Okataina Geology AD 1314 Kaharoa KNE lapilli,Silicic,Magmatic small to moderate,2E+08,PUB_VDD,1.1,,,,3.3,CAL
NZ_OKA_Kaharoa_KNW,Okataina,241050,Okataina Geology AD 1314 Kaharoa KNW lapilli,Silicic,Magmatic small to moderate,5E+08,PUB_VDD,1.1,,,,2.7,CAL
NZ_OKA_Kaharoa_L,Okataina,241050,Okataina Geology AD 1314 Kaharoa L lapilli,Silicic,Magmatic small to moderate,2E+08,PUB_VDD,1.1,,,,2.5,CAL
NZ_OKA_Mangaone_B,Okataina,241050,Okataina Geology Mangaone B,Silicic,Magmatic large,1.87E+08,PUB_CAL,1.1,34,35,CAL_PVD,4.1,CAL
NZ_OKA_Mangaone_C,Okataina,241050,Okataina Geology Mangaone C,Silicic,Magmatic large,8.55E+07,PUB_CAL,1.1,27,28,CAL_PVD,1.4,CAL
NZ_OKA_Mangaone_D,Okataina,241050,Okataina Geology Mangaone D,Silicic,Magmatic large,2.70E+08,PUB_CAL,1.1,40,32,CAL_PVD_MID,6.7,CAL
NZ_OKA_Mangaone_E,Okataina,241050,Okataina Geology Mangaone E,Silicic,Magmatic large,1.23E+08,PUB_CAL,1.1,31,32,CAL_PVD,1.8,CAL
NZ_OKA_Mangaone_F,Okataina,241050,Okataina Geology Mangaone F,Silicic,Magmatic large,3.33E+08,PUB_CAL,1.1,42,27,CAL_PVD_MID,7.7,CAL
NZ_OKA_Mangaone_G,Okataina,241050,Okataina Geology Mangaone G,Silicic,Magmatic large,1.44E+08,PUB_CAL,1.1,32,33,CAL_PVD,2.9,CAL
NZ_OKA_Mangaone_I,Okataina,241050,Okataina Geology Mangaone I,Silicic,Magmatic large,3.00E+08,PUB_CAL,1.1,41,42,CAL_PVD,13.9,CAL
NZ_OKA_Mangaone_J,Okataina,241050,Okataina Geology Mangaone J,Silicic,Magmatic large,6.24E+07,PUB_CAL,1.1,25,26,CAL_PVD,2.4,CAL
NZ_OKA_Mangaone_K,Okataina,241050,Okataina Geology Mangaone K,Silicic,Magmatic large,3.90E+08,PUB_CAL,1.1,44,45,CAL_PVD,6.9,CAL
NZ_OKA_Mangaone_L,Okataina,241050,Okataina Geology Mangaone L,Silicic,Magmatic large,1.97E+08,PUB_CAL,1.1,35,36,CAL_PVD,4.6,CAL
NZ_OKA_Okareka_C,Okataina,241050,Okataina Geology 21.9 ka Okareka C,Silicic,Magmatic large,,,1.1,19,20,CAL_A02,,
NZ_OKA_Rerewhakaaitu_A,Okataina,241050,Okataina Geology 17.6 ka Rerewhakaaitu A,Silicic,Magmatic large,,,1.1,15,16,CAL_A02_MID,,
NZ_OKA_Rerewhakaaitu_E-J,Okataina,241050,Okataina Geology 17.6 ka Rerewhakaaitu E-J,Silicic,Magmatic large,,,1.1,23,24,CAL_A02_MID,,
NZ_OKA_Rotorua_A,Okataina,241050,Okataina Geology 15.7 ka Rotorua Phase 1 A,Silicic,Magmatic large,1E+08,PUB_CAL_MAX,1.1,20,21,CAL_A02,3.5,CAL_MAX
NZ_OKA_Rotorua_B,Okataina,241050,Okataina Geology 15.7 ka Rotorua Phase 1 B,Silicic,Magmatic large,1E+08,PUB_CAL_MAX,1.1,18,19,CAL_A02,3.5,CAL_MAX
NZ_OKA_Rotorua_C,Okataina,241050,Okataina Geology 15.7 ka Rotorua Phase 1 C,Silicic,Magmatic large,1E+08,PUB_CAL_MAX,1.1,14,15,CAL_A02,3.5,CAL_MAX
NZ_RAO_20060317,Raoul,242030,Raoul 2006 03 March 17,Mafic,Steam-driven,,,0.1,,,,0.1,INS
NZ_RUA_19950923,Ruapehu,241100,Ruapehu 1995 09 September 23 ,Intermediate,Steam-driven,,,2.8,8,11,UDS_A06_MID,,
NZ_RUA_19951011,Ruapehu,241100,Ruapehu 1995 10 October 11-12 ,Intermediate,Magmatic small to moderate,7E+06,THS_VDA,2.8,6,9,VIS_PVD_MID,8.0,INS
NZ_RUA_19951014,Ruapehu,241100,Ruapehu 1995 10 October 14 ,Intermediate,Magmatic small to moderate,7E+06,THS_VDA,2.8,8,11,VIS_PVD_MAX,4.0,UDS
NZ_RUA_19960617,Ruapehu,241100,Ruapehu 1996 06 June 17 ,Intermediate,Magmatic small to moderate,1E+08,THS_VDA,2.8,7,10,VIS_PVD_MID,8.0,UDS_HIA
NZ_RUA_20070925,Ruapehu,241100,Ruapehu 2007 09 September 25,Intermediate,Steam-driven,1.0E+06,THS_CMD,2.8,1.7,4.5,VIS_PVD,0.1,INS_SHT
NZ_RUA_Ak,Ruapehu,241100,Ruapehu Geology Akurangi,Intermediate,Magmatic large,3.0E+08,PUB_CAL_MID,2.8,27,30,CAL_A02_MID,3.2,CAL_MID
NZ_RUA_Mgt,Ruapehu,241100,Ruapehu Geology Mangatoetoenui,Intermediate,Magmatic large,6.2E+07,PUB_CAL_MID,2.8,20,23,CAL_A02_MID,1.4,CAL_MID
NZ_RUA_Okp,Ruapehu,241100,Ruapehu Geology Combined Lower & Upper Okupata,Intermediate,Magmatic large,7.9E+07,PUB_CAL_MID,2.8,25,28,CAL_A02_MID,1.7,CAL_MID
NZ_RUA_Oru,Ruapehu,241100,Ruapehu Geology Oruamatua,Intermediate,Magmatic large,3.4E+08,PUB_CAL_MID,2.8,30,33,CAL_A02_MID,1.6,CAL_MID
NZ_RUA_Sw,Ruapehu,241100,Ruapehu Geology Shawcroft,Intermediate,Magmatic large,2.0E+08,PUB_CAL_MID,2.8,26,29,CAL_A02_MID,1.3,CAL_MID
NZ_RUA_U-Pk,Ruapehu,241100,Ruapehu Geology Upper Pahoka Tephra,Intermediate,Magmatic large,2.1E+08,PUB_CAL_MID,2.8,26,29,CAL_A02_MID,2.0,CAL_MID
NZ_TAR_Burrell,Taranaki,241030,Taranaki Geology Burrell 1655 AD,Intermediate,Magmatic small to moderate,1.3E+07,PUB_CAL,2.5,14,17,CAL_A02,2.9,CAL
NZ_TAR_Kaupokonui,Taranaki,241030,Taranaki Geology Kaupokonui,Mafic,Magmatic small to moderate,1.2E+07,PUB_CAL,2.5,14,17,CAL_A02,4.0,UDS
NZ_TAR_Kw4,Taranaki,241030,Taranaki Geology Kokowai layer Kw4,Intermediate,Magmatic large,1.8E+08,PUB_CAL,2.5,28,30,CAL_A02,1.4,UDS_MID
NZ_TAR_Kw7,Taranaki,241030,Taranaki Geology Kokowai layer Kw7,Mafic,Magmatic small to moderate,5.8E+07,PUB_CAL,2.5,21,23,CAL_A02,0.7,UDS
NZ_TAR_MD1-MD3,Taranaki,241030,"Taranaki Geology Mangunui-D, layers MD1-MD3",Mafic,Magmatic large,1.1E+08,PUB_CAL,2.5,24,27,CAL_A02,2.2,UDS
NZ_TAR_Uig7,Taranaki,241030,Taranaki Geology Upper Inglewood layer Uig7,Intermediate,Magmatic large,7.6E+07,PUB_CAL,2.5,22,25,CAL_A02,1.7,UDS
NZ_TAU_1.8ka_1,Taupo,241070,Taupo Geology 1.8ka Unit 1,Silicic,Steam-driven,1E+05,PUB_UDS,2.5,,,,,
NZ_TAU_1.8ka_2,Taupo,241070,Taupo Geology 1.8ka Unit 2,Silicic,Magmatic large,1E+07,PUB_UDS,2.5,,,,,
NZ_TAU_1.8ka_3,Taupo,241070,Taupo Geology 1.8ka Unit 3,Silicic,Magmatic large,1E+06,PUB_UDS,2.5,,,,,
NZ_TAU_1.8ka_4,Taupo,241070,Taupo Geology 1.8ka Unit 4,Silicic,Magmatic large,1E+06,PUB_UDS,2.5,,,,,
NZ_TAU_1.8ka_5,Taupo,241070,Taupo Geology 1.8ka Unit 5,Silicic,Magmatic large,1E+08,PUB_UDS,2.5,34,36,CAL_A02_MID,,
NZ_TON_18921130,Tongariro,241080,Upper Te Maari 1892 11 November 30 ,Intermediate,Steam-driven,,,1.5,0.9,2.4,VIS_A01,,
NZ_TON_18961113,Tongariro,241080,Upper Te Maari 1896 11 November 13 Event 1,Intermediate,Magmatic small to moderate,,,1.5,,,,0.6,UDS
NZ_TON_18961215,Tongariro,241080,Upper Ta Maari 1896 12 December 15 ,Intermediate,Magmatic small to moderate,,,1.5,,,,0.3,UDS
NZ_TON_20120806,Tongariro,241080,Te Maari 2012 08 August 06,Intermediate,Steam-driven,,,1.5,8,9,INS_PVD_ERR,0.2,INS
NZ_TON_20121121,Tongariro,241080,Te Maari 2012 11 November 21,Intermediate,Steam-driven,,,1.5,3.5,5.0,VIS_PVD_MID,0.1,VIS_SHT_APX
NZ_TON_Ot_HC,Tongariro,241080,Tongariro Geology Mangamata Oturere Half Cone,Intermediate,Magmatic large,1.6E+08,PUB_CAL_MID,1.7,23,25,CAL_A02_ERR,11.3,CAL_MID
NZ_TON_Ot_TL,Tongariro,241080,Tongariro Geology Mangamata Oturere Tama Lakes,Intermediate,Magmatic large,1.0E+08,PUB_CAL_MID,1.3,21,22,CAL_A02_ERR,11.3,CAL_MID
NZ_TON_OW_HC,Tongariro,241080,Tongariro Geology Mangamata Ohinepango-Waihohonu Half Cone,Intermediate,Magmatic large,1.69E+08,PUB_CAL_MID,1.7,22,24,CAL_A02_ERR,33.5,CAL_MID
NZ_TON_OW_TL,Tongariro,241080,Tongariro Geology Mangamata Ohinepango-Waihohonu Tama Lakes,Intermediate,Magmatic small to moderate,3.1E+07,PUB_CAL_MID,1.3,17,18,CAL_A02_ERR,15.0,CAL_MID
NZ_TON_PtBL_E,Tongariro,241080,Tongariro Geology Mangamata Poutu Blue Lake E,Intermediate,Magmatic large,1.5E+08,PUB_CAL_MID,1.7,19,21,CAL_A02_ERR,20.1,CAL_MID
NZ_TON_PtBL_NE,Tongariro,241080,Tongariro Geology Mangamata Poutu Blue Lake NE,Intermediate,Magmatic large,1.5E+08,PUB_CAL_MID,1.7,21,22,CAL_A02_ERR,20.1,CAL_MID
NZ_TON_PtNC_N,Tongariro,241080,Tongariro Geology Mangamata Poutu North Crater N,Intermediate,Magmatic large,7.7E+07,PUB_CAL_MID,1.8,20,21,CAL_A02_ERR,9.1,CAL_MID
NZ_TON_PtNC_NW,Tongariro,241080,Tongariro Geology Mangamata Poutu North Crater NW,Intermediate,Magmatic large,7.7E+07,PUB_CAL_MID,1.8,20,22,CAL_A02_ERR,9.1,CAL_MID
NZ_TON_PtPN_SE,Tongariro,241080,Tongariro Geology Mangamata Poutu proto-Ngauruhoe,Intermediate,Magmatic large,1.30E+08,PUB_CAL_MID,1.8,24,26,CAL_A02_ERR,4.2,CAL_MID
NZ_TON_Tt_HC,Tongariro,241080,Tongariro Geology Mangamata Te Rato Half Cone,Intermediate,Steam-driven,4.49E+08,PUB_CAL_MID,1.7,16,18,CAL_A02_ERR,7.6,CAL_MID
NZ_TON_Tt_NC,Tongariro,241080,Tongariro Geology Mangamata Te Rato North Crater,Intermediate,Magmatic large,2.5E+07,PUB_CAL_MID,1.8,21,23,CAL_A02_ERR,2.0,CAL_MID
NZ_TON_WP_TL,Tongariro,241080,Tongariro Geology Mangamata Wharepu Tama Lakes,Intermediate,Steam-driven,1.0E+08,PUB_CAL_MID,1.3,21,22,CAL_A02_ERR,35.9,CAL
NZ_WHA_20130805,Whakaari,241040,Whakaari 2013 08 August 05,Intermediate,Steam-driven,,,0.0,,,,0.2,UDS_APX
NZ_WHA_20131011,Whakaari,241040,Whakaari 2013 10 October 11 ,Intermediate,Steam-driven,,,0.0,,,,0.1,INS_SHT_APX
NZ_WHA_20160427,Whakaari,241040,Whakaari 2016 04 April 27,Intermediate,Steam-driven,,,0.0,4.0,4.0,UDS_PVD,0.6,INS
NZ_WHA_20191209,Whakaari,241040,Whakaari 2019 12 December 09,Intermediate,Steam-driven,,,0.0,3.7,3.7,INS_PVD_APX_FTS,0.1,UDS_SHT
PH_PIN_19910612_0851,Pinatubo,273083,Pinatubo 1991 06 June 12 0851,Intermediate,Magmatic small to moderate,5E+06,THS_VDD,1.7,17,19,INS_PVD,0.8,INS_MID
PH_PIN_19910612_2252,Pinatubo,273083,Pinatubo 1991 06 June 12 2252,Intermediate,Magmatic small to moderate,,,1.7,22,24,INS_PVD_MIN,0.2,UDS
PH_PIN_19910613_0841,Pinatubo,273083,Pinatubo 1991 06 June 13 0841,Intermediate,Magmatic small to moderate,,,1.7,22,24,INS_PVD_MIN,0.1,UDS_SHT
PH_PIN_19910614_1309,Pinatubo,273083,Pinatubo 1991 06 June 14 1309,Intermediate,Magmatic small to moderate,,,1.7,19,21,INS_PVD,0.1,UDS_SHT
PH_PIN_19910615,Pinatubo,273083,Pinatubo 1991 06 June 15 climatic,Intermediate,Magmatic large,3E+08,PUB_UDS,1.7,32,34,SAT_PVD,3.0,INS
VC_SSV_19020507,Soufriere St Vincent,360150,Soufriere St Vincent 1902 05 May 07,Intermediate,Magmatic small to moderate,4E+07,PUB_UDS,1.2,13,14,VIS_A06,3.0,UDS_MID
US_CLV_20010219,Mt Cleveland,311240,Mt Cleveland 2001 02 February 19 ,Intermediate,Magmatic small to moderate,,,1.7,8,10,VIS_A03_MID,8.0,SAT
US_CLV_20010311,Mt Cleveland,311240,Mt Cleveland 2001 03 March 11 ,Intermediate,Magmatic small to moderate,,,1.7,8,10,UDS_A06,3.0,SAT
US_CLV_20010319,Mt Cleveland,311240,Mt Cleveland 2001 03 March 19,Intermediate,Magmatic small to moderate,,,1.7,9,11,UDS_A06_MAX,6.0,UDS_MAX
US_KAS_20080807a,Kasatochi,311130,Kasatochi 2008 08 August 7-8 Explosive Event 1,Intermediate,Steam-driven,,,0.3,14,14,SAT_A03,1.0,INS_APX
US_KAS_20080807b,Kasatochi,311130,Kasatochi 2008 08 August 7-8 Explosive Event 2,Intermediate,Steam-driven,,,0.3,14,14,SAT_A03,0.5,INS_APX
US_KAS_20080807c,Kasatochi,311130,Kasatochi 2008 08 August 7-8 Explosive Event 3,Intermediate,Magmatic small to moderate,1.6E+07,PUB_CAL,0.3,18,18,SAT_A03,0.5,INS_APX
US_MSH_19800327,Mt St Helens,321050,Mt St Helens 1980 03 March 27 ,Intermediate,Steam-driven,,,3.0,2.0,5.0,VIS_PVD,,
US_MSH_19800328,Mt St Helens,321050,Mt St Helens 1980 03 March 28,Intermediate,Steam-driven,,,3.0,,,,2.0,VIS_MAX
US_MSH_19800518,Mt St Helens,321050,Mt St Helens 1980 05 May 18,Intermediate,Magmatic large,2E+07,PUB_UDS,3.0,17,20,UDS_A06,9.0,UDS
US_MSH_19800525,Mt St Helens,321050,Mt St Helens 1980 05 May 25,Intermediate,Magmatic small to moderate,2E+07,PUB_UDS,2.6,8,10,INS_A03,0.5,UDS_MAX
US_MSH_19800612,Mt St Helens,321050,Mt St Helens 1980 06 June 12,Intermediate,Magmatic small to moderate,2E+07,PUB_UDS,2.6,8,10,INS_A03,0.5,UDS
US_MSH_19800722a,Mt St Helens,321050,Mt St Helens 1980 07 July 22 A,Intermediate,Magmatic small to moderate,,,2.6,11,14,UDS_PVD,0.1,UDS_APX
US_MSH_19800722b,Mt St Helens,321050,Mt St Helens 1980 07 July 22 B,Intermediate,Magmatic small to moderate,,,2.6,14,18,UDS_PVD_MIN,0.4,UDS_APX
US_MSH_19800722c,Mt St Helens,321050,Mt St Helens 1980 07 July 22 C,Intermediate,Magmatic small to moderate,,,2.6,11,14,UDS_PVD_MAX,2.7,UDS_APX
US_MSH_19800807a,Mt St Helens,321050,Mt St Helens 1980 08 August 07 A,Intermediate,Magmatic small to moderate,3.00E+06,THS_CMD,2.6,10,13,UDS_A06,0.1,UDS_MIN
US_MSH_19801016,Mt St Helens,321050,Mt St Helens 1980 10 October 16,Intermediate,Magmatic small to moderate,,,2.6,,,,0.1,UDS
US_MSH_20041001,Mt St Helens,321050,Mt St Helens 2004 10 October 01,Intermediate,Magmatic small to moderate,,,2,2.4,4.5,VIS_PVD,0.3,INS
US_MSH_20041003,Mt St Helens,321050,Mt St Helens 2004 10 October 03,Intermediate,Magmatic small to moderate,,,2,0.4,2.5,VIS_PVD,0.4,INS_APX
US_MSH_20041004,Mt St Helens,321050,Mt St Helens 2004 10 October 04,Intermediate,Magmatic small to moderate,,,2,1.5,3.7,VIS_PVD,0.5,INS_APX
US_MSH_20041005,Mt St Helens,321050,Mt St Helens 2004 10 October 05,Intermediate,Magmatic small to moderate,,,2,2.4,4.5,UDS_PVD,1.2,INS
US_MSH_20050116,Mt St Helens,321050,Mt St Helens 2005 01 January 16,Intermediate,Magmatic small to moderate,,,2,,,,0.6,INS_APX
US_MSH_20050308,Mt St Helens,321050,Mt St Helens 2005 03 March 08,Intermediate,Magmatic small to moderate,4E+05,PUB_UDS,2,11,9,VIS_PVD,0.3,INS_APX
US_NVR_1912_I,Novarupta,312180,Novarupta Geology 1912 CE Episode I,Silicic,Magmatic large,9E+07,PUB_CAL_MID,0.8,25,26,CAL_A02_MID,16.0,UDS
US_NVR_1912_II,Novarupta,312180,Novarupta Geology 1912 CE Episode II,Intermediate,Magmatic large,1E+08,PUB_CAL_MID,0.8,24,24,CAL_A02_MID,16.0,UDS_MAX
US_NVR_1912_III,Novarupta,312180,Novarupta Geology 1912 CE Episode III,Intermediate,Magmatic large,3E+07,PUB_CAL_MID,0.8,20,21,CAL_A02_MID,16.0,UDS_MAX
US_RDB_19891214,Redoubt,313030,Redoubt 1989 12 December 14,Intermediate,Steam-driven,5E+05,THS_CMD_MID,3.1,7,10,VIS_A03_MIN,0.4,INS
US_RDB_19891215,Redoubt,313030,Redoubt 1989 12 December 15,Intermediate,Steam-driven,5.3E+06,THS_CMD_MID,3.1,9,12,VIS_A03_MIN,1.1,INS
US_RDB_19891219,Redoubt,313030,Redoubt 1989 12 December 19,Intermediate,Steam-driven,7E+05,THS_CMD_MID,3.1,6,9,VIS_A03_MIN,0.2,INS
US_SPR_19920627,Mt Spurr,313040,Mt Spurr 1992 06 June 27,Intermediate,Magmatic small to moderate,2.1E+06,PUB_CMD,3.4,11,15,INS_A03,4.0,INS
US_SPR_19920818,Mt Spurr,313040,Mt Spurr 1992 08 August 18,Intermediate,Magmatic small to moderate,2.9E+06,PUB_CMD,3.4,10,14,UDS_A06,3.5,UDS
US_SPR_19920917,Mt Spurr,313040,Mt Spurr 1992 09 September 17,Intermediate,Magmatic small to moderate,3.0E+06,PUB_CMD,3.4,11,14,UDS_A06,3.4,UDS
